iter	Passed	Remaining
312	19506	42813
313	19551	42713
314	19630	42687
315	19699	42639
316	19750	42553
317	19796	42456
318	19846	42368
319	19962	42420
320	20034	42378
321	20128	42382
322	20225	42392
323	20325	42406
324	20364	42295
325	20415	42209
326	20444	42076
327	20485	41970
328	20522	41856
329	20553	41729
330	20599	41633
331	20632	41512
332	20665	41392
333	20701	41278
334	20751	41193
335	20785	41076
336	20829	40979
337	20878	40891
338	20907	40765
339	20947	40661
340	21035	40651
341	21096	40589
342	21134	40482
343	21176	40383
344	21207	40263
345	21241	40150
346	21270	40027
347	21300	39907
348	21349	39824
349	21440	39817
350	21497	39749
351	21554	39680
352	21632	39649
353	21669	39543
354	21705	39436
355	21758	39361
356	22063	39738
357	22095	39623
358	22128	39510
359	22174	39421
360	22214	39322
361	22249	39212
362	22284	39105
363	22315	38991
364	22364	38907
365	22458	38903
366	22500	38808
367	22540	38710
368	22586	38622
369	22703	38656
370	22738	38550
371	22767	38435
372	22802	38329
373	22827	38209
374	22855	38092
375	22888	37984
376	22923	37881
377	22951	37765
378	22981	37656
379	23012	37546
380	23100	37530
381	23136	37430
382	23233	37428
383	23279	37343
384	23311	37237
385	23469	37332
386	23550	37303
387	23591	37212
388	23672	37182
389	23953	37466
390	24006	37391
391	24046	37296
392	24104	37230
393	24137	37125
394	24188	37047
395	24287	37043
396	24348	36982
397	24379	36875
398	24425	36791
399	24516	36774
